variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
dessert menu,Dessert Menu,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
easter wonders,Easter Wonders,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
everyday essentials aldi,Everyday Essentials,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
giannis,Gianni's,reviewed_aldi_uk_ie_private_label,2,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
greysons,Greyson's,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
harvest morn,Harvest Morn,reviewed_aldi_uk_ie_private_label,112,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
holly lane,Holly Lane,reviewed_aldi_uk_ie_private_label,10,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
nordpak,Nordpak,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
old hopking,Old Hopking,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
organic mamia,Mamia,reviewed_aldi_uk_ie_private_label,7,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
passions deli,Passions Deli,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
plant menu by aldi,Plant Menu,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
rheinbacher,Rheinbacher,reviewed_aldi_uk_ie_private_label,2,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
ridge valley,Ridge Valley,reviewed_aldi_uk_ie_private_label,3,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
sainte etienne,Sainte Etienne,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
snackrite,Snackrite,reviewed_aldi_uk_ie_private_label,69,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
specially selected aldi,Specially Selected,reviewed_aldi_uk_ie_private_label,3,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
specially selected by aldi,Specially Selected,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
stackz,Snackrite,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
stefanoff,Stefanoff,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
the dessert menu,Dessert Menu,reviewed_aldi_uk_ie_private_label,4,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
the infusionist,Infusionist,reviewed_aldi_uk_ie_private_label,1,,high,confirm,reviewed Aldi UK/IE decision; company_decision=Aldi; source=aldi_private_label_review_uk_ie_20260901
1001 delights milbona,1001 Delights,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
aberfoyle lidl,Aberfoyle,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
alesto lidl,Alesto,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
alpen fest,Alpenfest,reviewed_lidl_uk_ie_private_label,20,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
alpen fest lidl,Alpenfest,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
avena cerealien,Crownfield,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
avena cerealien crownfield lidl,Crownfield,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
bellarom fin carre,Bellarom,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
bellarom lidl,Bellarom,reviewed_lidl_uk_ie_private_label,3,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
bio organic,Milbona,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
bio organic lidl milbona,Milbona,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
bros kalogeraki,Eridanous,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
bros kalogeraki eridanous lidl,Eridanous,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
carlton,Milbona,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
carlton milbona,Milbona,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
carrick glen lidl,Carrick Glen,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
carrick green,Carrick Glen,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
carrick green lidl lidl carrick glen,Carrick Glen,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
chene d argent duc de coeur,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
chene d argent duc de coeur lidl,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
chene d argent lidl milbona lidl,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
chene dargent,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,34,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
chene dargent duc de coeur,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
cimarosa valle central,Cimarosa,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
confiserie firenge,Confiserie Firenze,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
confiserie firenze lidl,Confiserie Firenze,reviewed_lidl_uk_ie_private_label,6,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
crownfield cronfield,Crownfield,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
crownfield lidl,Crownfield,reviewed_lidl_uk_ie_private_label,15,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
crownfield lidl nordgetreide,Crownfield,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
dairy farmers,Dairy Manor,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
dairy farmers dairy manor,Dairy Manor,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
dairy manor morning fresh,Dairy Manor,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
de maro food group b v,McEnnedy,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
de maro food group b v lidl mcennedy,McEnnedy,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
deluxe by lidl,Deluxe,reviewed_lidl_uk_ie_private_label,8,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
deluxe lidl,Deluxe,reviewed_lidl_uk_ie_private_label,35,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
deluxe lidl deluxe,Deluxe,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
deluxe tortilla crisps,Deluxe,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
duc de coeur,Duc de Cœur,reviewed_lidl_uk_ie_private_label,32,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
duc de coeur lidl,Duc de Cœur,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
eridanous lidl,Eridanous,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
favorina lidl,Favorina,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
fin caree,Fin Carré,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
fin caree lidl,Fin Carré,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
fin carre,Way To Go!,reviewed_lidl_uk_ie_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
fin carre lidl,Fin Carré,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
fin carre way to go,Way To Go!,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
firenze,Vemondo,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
flavita dr aloe,Flavita,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
freeway lidl lidl freeway,Freeway,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
freeway up,Freeway,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
fun carre,Fin Carré,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
fun carre fin carre,Fin Carré,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
gain bar lidl,Gain Bar,reviewed_lidl_uk_ie_private_label,12,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
grnvang food aps,Vemondo,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
grnvang food aps lidl vemondo,Vemondo,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
harvest basket lidl,Harvest Basket,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
hatherwood,Sondey,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
hatherwood lidl,Hatherwood,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
hatherwood sondey lidl tower gate,Sondey,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
inter biscuits,Sondey,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
inter biscuits lidl sondey,Sondey,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
italiamo lidl,Italiamo,reviewed_lidl_uk_ie_private_label,6,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
j d gross lidl,J.D. Gross,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
j d gross r b food,J.D. Gross,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
james cook captain cook s,James Cook,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
jet gum,Jetgum,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
kong strong lidl,Kong Strong,reviewed_lidl_uk_ie_private_label,8,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
kuljanka lidl,Kuljanka,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
kuljanka pilos,Kuljanka,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl,Bellarom,reviewed_lidl_uk_ie_private_label,6,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Crownfield,reviewed_lidl_uk_ie_private_label,37,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Dairy Manor,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Deluxe,reviewed_lidl_uk_ie_private_label,104,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Duc de Cœur,reviewed_lidl_uk_ie_private_label,10,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Eridanous,reviewed_lidl_uk_ie_private_label,8,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Flavita,reviewed_lidl_uk_ie_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Galereux,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Hatherwood,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Italiamo,reviewed_lidl_uk_ie_private_label,7,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Just Free,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Knightsbridge,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Kuchenzauber,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Lindhouse,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Lovilio,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Milbona,reviewed_lidl_uk_ie_private_label,13,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Mister Choc,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Naturis,reviewed_lidl_uk_ie_private_label,11,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Naturista,reviewed_lidl_uk_ie_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Nobleza,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Perlenbacher,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Rathdaragh,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Rivercote,reviewed_lidl_uk_ie_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Rowan Hill Bakery,reviewed_lidl_uk_ie_private_label,11,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Select & Go,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Simply,reviewed_lidl_uk_ie_private_label,38,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Snack Day,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Snaktastic,reviewed_lidl_uk_ie_private_label,24,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Sol y Mar,reviewed_lidl_uk_ie_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Solevita,reviewed_lidl_uk_ie_private_label,4,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Sondey,reviewed_lidl_uk_ie_private_label,7,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Sweet Corner,reviewed_lidl_uk_ie_private_label,5,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Valley Spire,reviewed_lidl_uk_ie_private_label,31,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl,Vemondo,reviewed_lidl_uk_ie_private_label,9,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl crownfield,Crownfield,reviewed_lidl_uk_ie_private_label,7,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl dairy manor,Dairy Manor,reviewed_lidl_uk_ie_private_label,10,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl deluxe,Deluxe,reviewed_lidl_uk_ie_private_label,59,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl deluxe lidl,Deluxe,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl deluxe lidl deluxe,Deluxe,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl duc de coeur,Duc de Cœur,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl eridanous,Eridanous,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl flavita,Flavita,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl freeway,Freeway,reviewed_lidl_uk_ie_private_label,3,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl galereux,Galereux,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl hatherwood,Hatherwood,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl italiamo,Italiamo,reviewed_lidl_uk_ie_private_label,11,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl kuchenzauber,Kuchenzauber,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl lindhouse lidl lindhouse,Lindhouse,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl lovilio,Lovilio,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl milbona,Milbona,reviewed_lidl_uk_ie_private_label,6,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl milbona chene d argent,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl mister choc,Mister Choc,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl naturis,Naturis,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl naturis solevita vitafit,Solevita,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl naturista,Naturista,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl nobleza,Nobleza,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl perlenbacher,Perlenbacher,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl rathdaragh,Rathdaragh,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl rivercote,Rivercote,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl rowan hill bakery,Rowan Hill Bakery,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl simply,Simply,reviewed_lidl_uk_ie_private_label,6,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl snaktastic,Snaktastic,reviewed_lidl_uk_ie_private_label,12,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl sol mar,Sol y Mar,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl solevita,Solevita,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl sondey,Sondey,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl sweet corner,Sweet Corner,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl valley spire,Valley Spire,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
lidl vemondo,Vemondo,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
mcennedy american way,McEnnedy,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
milbona,1001 Delights,reviewed_lidl_uk_ie_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
milbona,Chêne d'Argent,reviewed_lidl_uk_ie_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
milbona dairy manor,Milbona,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
